sent0,sent1,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,neg12,neg13,neg14,neg15,neg16,neg17,neg18,neg19,neg20
 Our data suggest a transition in risk such that mutations in the 3 third of the gene are associated with a lower proportion of ovarian cancer,ovarian cancer is a disease,that is a disease,in risk such is a disease,the gene are is a disease,Our is a disease,lower proportion is a disease,risk such that is a disease,in is a disease,associated with is a disease,lower proportion of is a disease,of is a disease,a lower proportion is a disease,third is a disease,that mutations is a disease,gene is a disease,of the is a disease,the is a disease, Our data is a disease,such that is a disease,proportion is a disease,of ovarian cancer is a disease
Inactivation of the Friedreich ataxia mouse gene leads to early embryonic lethality without iron accumulation,embryonic lethality is a disease,Inactivation of the is a disease,lethality without iron is a disease,embryonic lethality without is a disease,of the Friedreich is a disease,early is a disease,to is a disease,ataxia is a disease,Inactivation of is a disease,Inactivation is a disease,embryonic is a disease,gene leads to is a disease,accumulation is a disease,mouse is a disease,leads to is a disease,iron accumulation is a disease,the Friedreich ataxia is a disease,to early embryonic is a disease,early embryonic is a disease,lethality without is a disease,without is a disease
Inactivation of the Friedreich ataxia mouse gene leads to early embryonic lethality without iron accumulation,Friedreich ataxia is a disease,iron is a disease,leads is a disease,mouse gene leads is a disease,early embryonic lethality is a disease,gene leads is a disease,gene is a disease,ataxia mouse gene is a disease,the is a disease,lethality is a disease,the Friedreich is a disease,to early is a disease,without iron is a disease,of the is a disease,ataxia mouse is a disease,mouse gene is a disease,Friedreich ataxia mouse is a disease,Friedreich is a disease,without iron accumulation is a disease,of is a disease,leads to early is a disease
" Friedreich ataxia (FRDA), the most common autosomal recessive ataxia, is caused in almost all cases by homozygous intronic expansions resulting in the loss of frataxin, a mitochondrial protein conserved through evolution, and involved in mitochondrial iron homeostasis",Friedreich ataxia is a disease,and is a disease,loss of is a disease,in almost is a disease,"autosomal recessive ataxia, is a disease",cases by homozygous is a disease,common autosomal is a disease,almost all is a disease,resulting in is a disease,mitochondrial is a disease,in mitochondrial is a disease,caused is a disease, Friedreich ataxia is a disease,homeostasis is a disease,almost all cases is a disease,caused in is a disease,"evolution, and involved is a disease","Friedreich ataxia (FRDA), is a disease",mitochondrial protein conserved is a disease,a is a disease,resulting in the is a disease
" Friedreich ataxia (FRDA), the most common autosomal recessive ataxia, is caused in almost all cases by homozygous intronic expansions resulting in the loss of frataxin, a mitochondrial protein conserved through evolution, and involved in mitochondrial iron homeostasis",FRDA is a disease,"(FRDA), the most is a disease",the is a disease,"evolution, and is a disease",mitochondrial iron homeostasis is a disease,involved in mitochondrial is a disease,recessive is a disease,through is a disease,is caused is a disease,autosomal recessive is a disease,most common autosomal is a disease, is a disease,most common is a disease,by homozygous intronic is a disease,expansions resulting is a disease,mitochondrial protein is a disease,by homozygous is a disease,in is a disease,"ataxia, is is a disease",caused in almost is a disease,common is a disease
" To study the mechanism of the disease, we generated a mouse model by deletion of exon 4 leading to inactivation of the Frda gene product",Frda is a disease,model by is a disease,leading is a disease,the Frda is a disease,"the disease, we is a disease","of the disease, is a disease","disease, is a disease",inactivation of is a disease,"disease, we is a disease",exon is a disease,deletion of exon is a disease,a mouse model is a disease,gene is a disease,"the disease, is a disease",of exon is a disease,leading to is a disease,"disease, we generated is a disease", is a disease,mouse model by is a disease,by is a disease,to is a disease
" We show that homozygous deletions cause embryonic lethality a few days after implantation, demonstrating an important role for frataxin during early development",embryonic lethality is a disease,"after implantation, demonstrating is a disease", We is a disease,demonstrating an important is a disease,cause embryonic lethality is a disease,"implantation, is a disease",an is a disease,days after is a disease,demonstrating an is a disease, is a disease,role is a disease,during early development is a disease,important is a disease,a few is a disease,"after implantation, is a disease",deletions is a disease,a few days is a disease,"days after implantation, is a disease",that homozygous deletions is a disease,embryonic lethality a is a disease,homozygous deletions cause is a disease
A glycine250--> aspartate substitution in the alpha-subunit of hexosaminidase A causes juvenile-onset Tay-Sachs disease in a Lebanese-Canadian family,Tay-Sachs disease is a disease,juvenile-onset is a disease,hexosaminidase is a disease,in the is a disease,disease in is a disease,juvenile-onset Tay-Sachs disease is a disease,disease is a disease,a Lebanese-Canadian family is a disease,aspartate substitution is a disease,glycine250--> aspartate substitution is a disease,in a is a disease,glycine250--> is a disease,family is a disease,juvenile-onset Tay-Sachs is a disease,substitution is a disease,the alpha-subunit is a disease,alpha-subunit of is a disease,in a Lebanese-Canadian is a disease,hexosaminidase A is a disease,Lebanese-Canadian family is a disease,causes juvenile-onset is a disease
 The mutation causing juvenile Tay-Sachs disease (TSD) in two sibs of Lebanese-Maronite origin is described,TSD is a disease,in two is a disease,causing juvenile is a disease,Tay-Sachs is a disease,two is a disease,The mutation causing is a disease,disease is a disease,mutation is a disease,Lebanese-Maronite origin is a disease, The is a disease,in two sibs is a disease,origin is a disease,The mutation is a disease,of Lebanese-Maronite is a disease,Tay-Sachs disease (TSD) is a disease,two sibs of is a disease,(TSD) is a disease,is is a disease,of Lebanese-Maronite origin is a disease,Lebanese-Maronite is a disease,described is a disease
 The mutation causing juvenile Tay-Sachs disease (TSD) in two sibs of Lebanese-Maronite origin is described,Tay-Sachs disease is a disease, is a disease,mutation causing juvenile is a disease, The mutation is a disease,juvenile Tay-Sachs disease is a disease,mutation causing is a disease,origin is described is a disease,origin is is a disease,sibs of is a disease,(TSD) in two is a disease,two sibs is a disease,disease (TSD) is a disease,juvenile Tay-Sachs is a disease,juvenile is a disease,of is a disease,causing is a disease,(TSD) in is a disease,in is a disease,is described is a disease,causing juvenile Tay-Sachs is a disease,sibs of Lebanese-Maronite is a disease
 The predicted protein environment in which the mutation occurs is compared to that of the adult-onset Tay-Sachs disease mutation caused by a Gly269-- > Ser substitution in exon 7,Tay-Sachs disease is a disease,Gly269-- > is a disease,that is a disease,in which is a disease,disease mutation caused is a disease,of is a disease,Ser is a disease,The predicted is a disease,that of the is a disease,in exon is a disease,to that of is a disease,occurs is a disease,adult-onset Tay-Sachs is a disease,exon 7 is a disease,occurs is compared is a disease,substitution is a disease,protein environment in is a disease, The is a disease,disease is a disease,mutation occurs is is a disease,Tay-Sachs is a disease
Restriction of ocular fundus lesions to a specific subgroup of APC mutations in adenomatous polyposis coli patients,APC is a disease,of ocular is a disease,of ocular fundus is a disease,polyposis is a disease,mutations in adenomatous is a disease,lesions to a is a disease,adenomatous is a disease,specific subgroup is a disease,of is a disease,APC mutations in is a disease,polyposis coli is a disease,APC mutations is a disease,coli patients is a disease,ocular fundus lesions is a disease,mutations in is a disease,patients is a disease,in is a disease,Restriction of ocular is a disease,specific subgroup of is a disease,a is a disease,lesions is a disease
Restriction of ocular fundus lesions to a specific subgroup of APC mutations in adenomatous polyposis coli patients,adenomatous polyposis coli is a disease,coli is a disease,to a is a disease,of APC mutations is a disease,subgroup is a disease,adenomatous polyposis is a disease,in adenomatous is a disease,subgroup of APC is a disease,a specific subgroup is a disease,fundus lesions to is a disease,to is a disease,polyposis coli patients is a disease,of APC is a disease,fundus is a disease,fundus lesions is a disease,a specific is a disease,mutations is a disease,subgroup of is a disease,to a specific is a disease,in adenomatous polyposis is a disease,specific is a disease
" In humans, alteration of the tumor suppressor gene, APC, causes adenomatous polyposis coli, a condition causing predisposition to colorectal cancer",APC is a disease, ,colorectal is a disease, , , ,to colorectal is a disease, , is a disease, ,"APC, causes is a disease", ,the tumor suppressor is a disease, ,"coli, is a disease","coli, a condition is a disease", In is a disease,"humans, alteration is a disease", ,alteration of the is a disease,of the is a disease
" In humans, alteration of the tumor suppressor gene, APC, causes adenomatous polyposis coli, a condition causing predisposition to colorectal cancer",adenomatous polyposis coli is a disease,causing is a disease,"humans, alteration of is a disease","polyposis coli, a is a disease",suppressor is a disease,causes is a disease,the tumor is a disease,"gene, is a disease","polyposis coli, is a disease", , ," In humans, is a disease","humans, is a disease",alteration is a disease,adenomatous is a disease,"In humans, alteration is a disease",predisposition to is a disease,causes adenomatous polyposis is a disease,"adenomatous polyposis coli, is a disease", , 
" In humans, alteration of the tumor suppressor gene, APC, causes adenomatous polyposis coli, a condition causing predisposition to colorectal cancer",tumor is a disease,predisposition to colorectal is a disease,"gene, APC, is a disease",causing predisposition is a disease,a condition is a disease,of the tumor is a disease,to colorectal cancer is a disease,"APC, is a disease","gene, APC, causes is a disease",In is a disease,a is a disease,tumor suppressor is a disease, , , ,adenomatous polyposis is a disease,"coli, a is a disease",causes adenomatous is a disease,cancer is a disease, ,of is a disease
" In humans, alteration of the tumor suppressor gene, APC, causes adenomatous polyposis coli, a condition causing predisposition to colorectal cancer",colorectal cancer is a disease, ,to is a disease, ,"suppressor gene, is a disease", ,predisposition is a disease, ,the is a disease,"tumor suppressor gene, is a disease",condition causing is a disease,condition causing predisposition is a disease,a condition causing is a disease, ,polyposis is a disease,causing predisposition to is a disease,"APC, causes adenomatous is a disease",condition is a disease,"suppressor gene, APC, is a disease",alteration of is a disease,"In humans, is a disease"
 The exact APC mutation was identified in 42 unrelated patients,APC is a disease,APC mutation is a disease,The exact APC is a disease, The is a disease,42 is a disease,unrelated patients is a disease,exact APC mutation is a disease,in is a disease,42 unrelated patients is a disease,mutation was is a disease,The exact is a disease,mutation is a disease,patients is a disease,was is a disease,was identified is a disease,in 42 is a disease,unrelated is a disease,exact APC is a disease,identified is a disease,was identified in is a disease,mutation was identified is a disease
" Thus, the range of phenotypic expression observed among affected patients may result in part from different allelic manifestations of APC mutations",APC is a disease,may result is a disease,observed is a disease,expression observed among is a disease,of APC is a disease,of phenotypic expression is a disease,different is a disease,allelic manifestations is a disease,of is a disease,part from is a disease,"Thus, the range is a disease",result in is a disease,of APC mutations is a disease,among affected is a disease,patients may result is a disease,expression observed is a disease,manifestations of APC is a disease,allelic is a disease,mutations is a disease, is a disease,may result in is a disease
Linkage analysis of 26 Canadian breast and breast-ovarian cancer families,ovarian cancer is a disease,of 26 Canadian is a disease, , , , ,breast-ovarian is a disease,Canadian is a disease, , , , ,breast-ovarian cancer families is a disease,Canadian breast and is a disease, , , ,of is a disease, ,breast and is a disease,and breast-ovarian cancer is a disease
Linkage analysis of 26 Canadian breast and breast-ovarian cancer families,breast-ovarian cancer is a disease,analysis of is a disease,Linkage analysis is a disease, ,26 Canadian is a disease,breast is a disease, ,of 26 is a disease, , ,families is a disease,26 Canadian breast is a disease, , , , ,26 is a disease,breast and breast-ovarian is a disease, , , 
Linkage analysis of 26 Canadian breast and breast-ovarian cancer families,cancer is a disease, ,cancer families is a disease, ,analysis is a disease,and is a disease,analysis of 26 is a disease, , ,and breast-ovarian is a disease,Linkage is a disease, , , , , ,Canadian breast is a disease, , , ,Linkage analysis of is a disease
 We have examined 26 Canadian families with hereditary breast or ovarian cancer for linkage to markers flanking the BRCA1 gene on chromosome 17q12-q21,ovarian cancer is a disease,26 is a disease, We is a disease,BRCA1 gene on is a disease,families with hereditary is a disease,have is a disease,cancer for is a disease,linkage is a disease,on is a disease,to markers is a disease,chromosome 17q12-q21 is a disease,with hereditary breast is a disease,for is a disease,We is a disease,linkage to is a disease,examined 26 is a disease,gene is a disease,flanking the is a disease,markers is a disease,examined is a disease,We have examined is a disease
 We have examined 26 Canadian families with hereditary breast or ovarian cancer for linkage to markers flanking the BRCA1 gene on chromosome 17q12-q21,cancer is a disease,with hereditary is a disease,or ovarian is a disease,26 Canadian is a disease,chromosome is a disease,or is a disease,families with is a disease,to markers flanking is a disease,for linkage is a disease,breast is a disease,flanking is a disease,26 Canadian families is a disease,on chromosome 17q12-q21 is a disease,linkage to markers is a disease,hereditary breast is a disease,with is a disease,ovarian is a disease,the BRCA1 gene is a disease,breast or ovarian is a disease,cancer for linkage is a disease,or ovarian cancer is a disease
" Of the 15 families that contain cases of ovarian cancer, 94% were estimated to be linked to BRCA1",ovarian cancer is a disease,be is a disease,contain is a disease,ovarian is a disease,Of the 15 is a disease,Of is a disease, Of is a disease,families is a disease,linked is a disease,cases of ovarian is a disease, is a disease,estimated to be is a disease,families that contain is a disease,BRCA1 is a disease,94% is a disease,to be is a disease,94% were is a disease,"ovarian cancer, is a disease",were estimated to is a disease,that contain is a disease, Of the is a disease
" Of the 15 families that contain cases of ovarian cancer, 94% were estimated to be linked to BRCA1",cancer is a disease,Of the is a disease,94% were estimated is a disease,families that is a disease,the 15 is a disease,15 families that is a disease,were is a disease,to is a disease,estimated is a disease,cases of is a disease,linked to BRCA1 is a disease,"cancer, is a disease","cancer, 94% were is a disease","cancer, 94% is a disease",be linked is a disease,linked to is a disease,contain cases is a disease,15 families is a disease,cases is a disease,of is a disease,of ovarian is a disease
" In contrast, there was no overall evidence of linkage in the group of 10 families with breast cancer without ovarian cancer",ovarian cancer is a disease,10 families with is a disease,in the is a disease,overall evidence of is a disease, ,with breast is a disease,with is a disease,10 families is a disease,overall evidence is a disease,of linkage is a disease,"In contrast, there is a disease","contrast, there was is a disease",linkage in is a disease,no overall is a disease,"contrast, there is a disease","contrast, is a disease",no is a disease,overall is a disease,in is a disease,linkage in the is a disease,no overall evidence is a disease
" In contrast, there was no overall evidence of linkage in the group of 10 families with breast cancer without ovarian cancer",breast cancer is a disease,families is a disease,cancer without is a disease,evidence of linkage is a disease,cancer without ovarian is a disease,without ovarian cancer is a disease,group is a disease,of 10 families is a disease," In contrast, is a disease",linkage is a disease,In is a disease,the group is a disease,of is a disease, ,the group of is a disease,the is a disease,was no is a disease,in the group is a disease,group of is a disease,"In contrast, is a disease",ovarian is a disease
" In contrast, there was no overall evidence of linkage in the group of 10 families with breast cancer without ovarian cancer",cancer is a disease,breast cancer without is a disease,there was is a disease,there was no is a disease,with breast cancer is a disease,evidence is a disease,group of 10 is a disease,of linkage in is a disease,families with is a disease,was is a disease,10 is a disease, In is a disease,families with breast is a disease,without is a disease,there is a disease,of 10 is a disease,evidence of is a disease,without ovarian is a disease, is a disease,breast is a disease,was no overall is a disease
" A genetic recombinant in a breast-ovarian cancer family indicates a placement of BRCA1 telomeric to D17S776, and helps to define the region of assignment of the cancer susceptibility gene",ovarian cancer is a disease,family indicates a is a disease,and is a disease,breast-ovarian is a disease,"D17S776, and helps is a disease",cancer family is a disease,placement of BRCA1 is a disease,placement of is a disease,of assignment of is a disease,telomeric to is a disease,define the region is a disease,region is a disease,to define is a disease,define is a disease,of is a disease,A is a disease,of assignment is a disease,to define the is a disease,a placement of is a disease,a placement is a disease,breast-ovarian cancer family is a disease
" A genetic recombinant in a breast-ovarian cancer family indicates a placement of BRCA1 telomeric to D17S776, and helps to define the region of assignment of the cancer susceptibility gene",breast-ovarian cancer is a disease,indicates a is a disease,genetic recombinant in is a disease,the cancer susceptibility is a disease,family indicates is a disease,"to D17S776, and is a disease",the cancer is a disease,assignment of the is a disease,a is a disease,cancer susceptibility is a disease,recombinant is a disease,assignment of is a disease,recombinant in a is a disease,of the cancer is a disease,region of is a disease,"to D17S776, is a disease",a breast-ovarian is a disease,gene is a disease,telomeric is a disease,genetic is a disease,to is a disease
" A genetic recombinant in a breast-ovarian cancer family indicates a placement of BRCA1 telomeric to D17S776, and helps to define the region of assignment of the cancer susceptibility gene",cancer is a disease,recombinant in is a disease,family is a disease, A is a disease,assignment is a disease,susceptibility gene is a disease,BRCA1 is a disease, is a disease,define the is a disease,susceptibility is a disease,of the is a disease,the region of is a disease,indicates a placement is a disease,"D17S776, is a disease",the region is a disease,region of assignment is a disease,and helps is a disease,a breast-ovarian cancer is a disease,BRCA1 telomeric is a disease, A genetic is a disease,of BRCA1 telomeric is a disease
" Other cancers of interest that appeared in the BRCA1-linked families included primary peritoneal cancer, cancer of the fallopian tube, and malignant melanoma",cancers is a disease,Other is a disease,in the is a disease, ,and malignant melanoma is a disease,fallopian is a disease,families included primary is a disease,in the BRCA1-linked is a disease, ,of is a disease,the is a disease,included is a disease,peritoneal is a disease,of interest that is a disease,primary peritoneal is a disease, ,that is a disease,Other cancers is a disease,"cancer, is a disease", ,"fallopian tube, and is a disease"
" Other cancers of interest that appeared in the BRCA1-linked families included primary peritoneal cancer, cancer of the fallopian tube, and malignant melanoma",malignant melanoma is a disease,and malignant is a disease,families included is a disease,of interest is a disease, ,"tube, is a disease",BRCA1-linked families included is a disease,in is a disease,of the fallopian is a disease,"the fallopian tube, is a disease","tube, and is a disease",cancer of the is a disease,"fallopian tube, is a disease", ,BRCA1-linked families is a disease,appeared is a disease, ,BRCA1-linked is a disease,"peritoneal cancer, cancer is a disease",the BRCA1-linked families is a disease,"peritoneal cancer, is a disease"
" Other cancers of interest that appeared in the BRCA1-linked families included primary peritoneal cancer, cancer of the fallopian tube, and malignant melanoma",cancer of the fallopian tube is a disease,primary is a disease, ,included primary peritoneal is a disease, ,interest that is a disease,and is a disease, , Other is a disease,families is a disease,the fallopian is a disease,appeared in is a disease,"primary peritoneal cancer, is a disease", is a disease,cancer of is a disease,that appeared is a disease,cancers of is a disease, ,melanoma is a disease,Other cancers of is a disease,"cancer, cancer of is a disease"
" Other cancers of interest that appeared in the BRCA1-linked families included primary peritoneal cancer, cancer of the fallopian tube, and malignant melanoma",cancer is a disease, ,malignant is a disease,that appeared in is a disease,included primary is a disease, ,interest is a disease,the BRCA1-linked is a disease,of the is a disease,"tube, and malignant is a disease", ,interest that appeared is a disease,"cancer, cancer is a disease", , , Other cancers is a disease,appeared in the is a disease, , ,cancers of interest is a disease, 
Malignant neoplasms in the families of patients with ataxia-telangiectasia,Malignant neoplasms is a disease, , , , , , , , , ,of patients with is a disease, , , ,neoplasms in is a disease, ,with is a disease,in is a disease, , ,with ataxia-telangiectasia is a disease
Malignant neoplasms in the families of patients with ataxia-telangiectasia,neoplasms is a disease,the families of is a disease, ,the families is a disease,Malignant neoplasms in is a disease, ,neoplasms in the is a disease,in the families is a disease, ,Malignant is a disease,of patients is a disease, , ,families is a disease, ,patients with is a disease,in the is a disease, , , , 
Malignant neoplasms in the families of patients with ataxia-telangiectasia,ataxia-telangiectasia is a disease,the is a disease, , ,patients is a disease, , , ,patients with ataxia-telangiectasia is a disease, ,families of patients is a disease, , ,of is a disease, , ,families of is a disease, , , , 
 Ataxia-telangiectasia (A-T) is an autosomal recessive syndrome associated with a greatly increased incidence of malignant neoplasms in homozygous affected individuals,autosomal recessive syndrome is a disease,neoplasms in is a disease,individuals is a disease,a greatly increased is a disease,affected is a disease,of is a disease,(A-T) is is a disease,in is a disease, , ,increased incidence is a disease, ,of malignant neoplasms is a disease, ,a is a disease,affected individuals is a disease, , , , , 
 Ataxia-telangiectasia (A-T) is an autosomal recessive syndrome associated with a greatly increased incidence of malignant neoplasms in homozygous affected individuals,Ataxia-telangiectasia is a disease, ,is an autosomal is a disease, ,with a is a disease, , , ,a greatly is a disease,recessive syndrome is a disease,in homozygous affected is a disease, , , ,syndrome associated with is a disease, , Ataxia-telangiectasia (A-T) is a disease, ,an autosomal is a disease, ,greatly is a disease
 Ataxia-telangiectasia (A-T) is an autosomal recessive syndrome associated with a greatly increased incidence of malignant neoplasms in homozygous affected individuals,A-T is a disease,syndrome is a disease, , , ,neoplasms in homozygous is a disease,autosomal recessive is a disease, ,malignant is a disease,(A-T) is a disease,recessive syndrome associated is a disease, ,associated is a disease, ,autosomal is a disease,greatly increased incidence is a disease,associated with is a disease, ,an is a disease,in homozygous is a disease, 
 Ataxia-telangiectasia (A-T) is an autosomal recessive syndrome associated with a greatly increased incidence of malignant neoplasms in homozygous affected individuals,neoplasms is a disease, ,with a greatly is a disease, , , , , ,(A-T) is an is a disease,of malignant is a disease,Ataxia-telangiectasia (A-T) is a disease,incidence of is a disease,greatly increased is a disease, , , , , Ataxia-telangiectasia is a disease, , ,associated with a is a disease
 Ataxia-telangiectasia (A-T) is an autosomal recessive syndrome associated with a greatly increased incidence of malignant neoplasms in homozygous affected individuals,malignant neoplasms is a disease,is is a disease,incidence of malignant is a disease,recessive is a disease, , , ,homozygous is a disease, , ,homozygous affected is a disease,malignant neoplasms in is a disease, , , ,is an is a disease,homozygous affected individuals is a disease, , , , 
 Ataxia-telangiectasia (A-T) is an autosomal recessive syndrome associated with a greatly increased incidence of malignant neoplasms in homozygous affected individuals,malignant neoplasm is a disease, , , ,an autosomal recessive is a disease,syndrome associated is a disease, is a disease,increased incidence of is a disease, , ,with is a disease,Ataxia-telangiectasia (A-T) is is a disease,increased is a disease, , ,incidence is a disease, , , , , 
" Heterozygotes for the gene for A-T are thought to comprise about 1% of the general population and, therefore, it is important to know whether this gene also predisposes the heterozygous carrier to cancers",cancers is a disease,important is a disease,to know is a disease,gene also predisposes is a disease,to know whether is a disease,this gene also is a disease,gene for is a disease,"general population and, is a disease",is important to is a disease,the heterozygous carrier is a disease,is important is a disease,A-T are is a disease,comprise about is a disease,important to is a disease,heterozygous is a disease,comprise about 1% is a disease,the is a disease,of the is a disease,carrier is a disease,to is a disease,1% is a disease
" Heterozygotes for the gene for A-T are thought to comprise about 1% of the general population and, therefore, it is important to know whether this gene also predisposes the heterozygous carrier to cancers",A-T is a disease,"therefore, it is a disease",know is a disease,1% of is a disease,A-T are thought is a disease,gene for A-T is a disease,of the general is a disease,gene also is a disease,know whether this is a disease,Heterozygotes for the is a disease,Heterozygotes is a disease,"and, therefore, is a disease", Heterozygotes is a disease,know whether is a disease,to cancers is a disease,this gene is a disease,to comprise is a disease,it is is a disease,predisposes the is a disease,whether this gene is a disease,carrier to is a disease
" Heterozygotes for the gene for A-T are thought to comprise about 1% of the general population and, therefore, it is important to know whether this gene also predisposes the heterozygous carrier to cancers",cancer is a disease,are is a disease,to comprise about is a disease,Heterozygotes for is a disease,1% of the is a disease,also predisposes is a disease,"population and, is a disease",the gene is a disease,general population is a disease, Heterozygotes for is a disease,for is a disease, is a disease,"and, therefore, it is a disease",gene is a disease,about 1% of is a disease,the gene for is a disease,also predisposes the is a disease,population is a disease,of is a disease,the heterozygous is a disease,whether this is a disease
" Heterozygous carriers of this gene are common among the close relatives of patients with A-T, although individual carriers cannot be identified by any clinical criterion or laboratory test",A-T is a disease,the is a disease,or is a disease,criterion or is a disease,or laboratory test is a disease,this is a disease,close relatives of is a disease,identified by any is a disease, Heterozygous carriers is a disease,among the close is a disease,common is a disease,gene are common is a disease,among is a disease,of this is a disease,of patients is a disease,gene are is a disease,of this gene is a disease,of is a disease,relatives of is a disease,patients is a disease,of patients with is a disease
" For this reason, we compared the incidence of death from malignant neoplasms in 2 families of patients with A-T to that expected in a random sample of the general population",malignant neoplasms is a disease,sample of is a disease,in 2 families is a disease,that expected is a disease,For is a disease,in a is a disease,the is a disease,to that is a disease,compared the is a disease,For this is a disease,population is a disease,sample is a disease,incidence of is a disease,2 families is a disease,the general population is a disease,random sample is a disease,in is a disease, For is a disease,expected in is a disease,from malignant neoplasms is a disease,expected in a is a disease
" For this reason, we compared the incidence of death from malignant neoplasms in 2 families of patients with A-T to that expected in a random sample of the general population",neoplasms is a disease,with A-T to is a disease,we compared is a disease,from is a disease,2 is a disease,patients is a disease,we compared the is a disease,in 2 is a disease,with is a disease,general population is a disease,"For this reason, is a disease",of patients is a disease,a random is a disease,this is a disease,random sample of is a disease,death from is a disease,in a random is a disease, is a disease,a random sample is a disease,malignant is a disease,of patients with is a disease
" For this reason, we compared the incidence of death from malignant neoplasms in 2 families of patients with A-T to that expected in a random sample of the general population",malignant neoplasm is a disease,incidence is a disease,sample of the is a disease,from malignant is a disease,compared is a disease,we is a disease,to is a disease,general is a disease,of death from is a disease,"reason, is a disease",of the is a disease,expected is a disease,"reason, we is a disease",of is a disease,2 families of is a disease,"this reason, is a disease",families is a disease,patients with is a disease,of death is a disease, For this is a disease,A-T to is a disease
" For this reason, we compared the incidence of death from malignant neoplasms in 2 families of patients with A-T to that expected in a random sample of the general population",A-T is a disease,that is a disease,families of patients is a disease,neoplasms in 2 is a disease,that expected in is a disease,with A-T is a disease,death is a disease,A-T to that is a disease,malignant neoplasms in is a disease,neoplasms in is a disease,"this reason, we is a disease",death from malignant is a disease,of the general is a disease,to that expected is a disease,patients with A-T is a disease,a is a disease,compared the incidence is a disease,the incidence of is a disease,"reason, we compared is a disease",the incidence is a disease,incidence of death is a disease
" There were 59 deaths from malignant neoplasms in relatives dying before age 75, compared to 42",malignant neoplasms is a disease,deaths is a disease,deaths from malignant is a disease,59 deaths from is a disease, ,were is a disease,59 is a disease,were 59 deaths is a disease,There were 59 is a disease, is a disease, , ,before is a disease,compared to 42 is a disease, ,"age 75, compared is a disease",neoplasms in relatives is a disease,to is a disease, ,to 42 is a disease,"75, compared is a disease"
" There were 59 deaths from malignant neoplasms in relatives dying before age 75, compared to 42",neoplasms is a disease,59 deaths is a disease,compared is a disease,dying before age is a disease,relatives dying before is a disease, ,age is a disease,dying before is a disease,compared to is a disease,"age 75, is a disease", ,in relatives is a disease, ,from is a disease, There were is a disease, , ,"75, is a disease", ,"75, compared to is a disease", 
" There were 59 deaths from malignant neoplasms in relatives dying before age 75, compared to 42",malignant neoplasm is a disease,before age is a disease,were 59 is a disease, There is a disease,There were is a disease,in relatives dying is a disease,from malignant neoplasms is a disease,neoplasms in is a disease,42 is a disease, ,from malignant is a disease, ,relatives is a disease,dying is a disease,malignant is a disease,malignant neoplasms in is a disease,relatives dying is a disease,"before age 75, is a disease",in is a disease,There is a disease,deaths from is a disease
" For A-T heterozygotes younger than age 45, the risk of dying from a malignant neoplasm was estimated to be greater than 5 times the risk for the general population",malignant neoplasm is a disease,risk of is a disease,greater than 5 is a disease,times the is a disease,the risk for is a disease,the general population is a disease,5 times the is a disease,for is a disease,to be is a disease,was estimated is a disease,malignant neoplasm was is a disease,times the risk is a disease,a malignant is a disease,risk is a disease,"45, the risk is a disease",the general is a disease,a is a disease,greater is a disease,for the general is a disease,"45, is a disease",greater than is a disease
" For A-T heterozygotes younger than age 45, the risk of dying from a malignant neoplasm was estimated to be greater than 5 times the risk for the general population",A-T is a disease,For A-T is a disease,general is a disease,than is a disease,be greater is a disease,was is a disease,estimated is a disease,A-T heterozygotes is a disease,age is a disease, For is a disease,5 times is a disease,to is a disease,to be greater is a disease,For A-T heterozygotes is a disease,5 is a disease,the risk of is a disease, For A-T is a disease,dying from a is a disease,heterozygotes younger is a disease,malignant is a disease,from is a disease
 A-T heterozygotes may comprise more than 5% of all persons dying from a cancer before age 45,A-T is a disease,cancer before is a disease,comprise is a disease,5% of is a disease,A-T heterozygotes may is a disease, A-T heterozygotes is a disease,more than is a disease,before age is a disease,5% of all is a disease,all persons dying is a disease,age 45 is a disease,before is a disease,may comprise more is a disease,a is a disease,dying is a disease,heterozygotes is a disease,persons dying is a disease,A-T heterozygotes is a disease,a cancer is a disease,from is a disease,may is a disease
 A-T heterozygotes may comprise more than 5% of all persons dying from a cancer before age 45,cancer is a disease,cancer before age is a disease,more than 5% is a disease,from a is a disease,persons is a disease,before age 45 is a disease,of all persons is a disease,a cancer before is a disease,comprise more than is a disease,5% is a disease,all is a disease, is a disease,from a cancer is a disease,than is a disease,of all is a disease,age is a disease,dying from a is a disease,of is a disease,45 is a disease,more is a disease,than 5% of is a disease
" The incidence of ovarian, gastric, and biliary system carcinomas and of leukemia and lymphoma was increased in these A-T families",lymphoma is a disease,incidence of is a disease, ,of leukemia is a disease,"incidence of ovarian, is a disease",increased in these is a disease,system is a disease,and of is a disease,"ovarian, gastric, and is a disease",was is a disease, ,lymphoma was is a disease,was increased is a disease,leukemia and lymphoma is a disease,leukemia and is a disease,increased in is a disease,and lymphoma is a disease,"of ovarian, gastric, is a disease",biliary system is a disease, , The incidence is a disease
